Selection Result,Trial,Arena,Time bin,Velocity,Velocity,In zone,In zone,Zone alternation,Zone alternation,Zone alternation,Zone alternation,Distance moved 2,Acceleration,Acceleration
,,,,Center-point,Center-point,Inside / Center-point,Inside / Center-point,Center-point / Alternations,Center-point / Max alternations,Center-point / Direct revisits,Center-point / Indirect revisits,Center-point,Center-point,Center-point
,,,,Mean,Maximum,Frequency,Cumulative Duration,Frequency,Frequency,Frequency,Frequency,Total,Mean,Maximum
,,,,mm/s,mm/s,,s,,,,,mm,mm/s_,mm/s_
LD KO,Trial     5,C5,0:18:00-0:18:20,5.05022,36.215,1,2.9,0,0,0,0,101.004,-0.131258,1353.13
LD KO,Trial     6,A2,0:15:00-0:15:20,5.64841,125.351,4,2.6,0,0,0,0,112.968,0.268655,5379.08
LD KO,Trial     6,A2,0:15:20-0:15:40,5.20108,110.117,1,1.22,0,0,0,0,103.814,-0.613168,4333.4
LD KO,Trial     6,A2,0:15:40-0:16:00,6.1909,48.6972,0,0,0,0,0,0,123.818,0.320422,1353.62
LD KO,Trial     6,A2,0:16:00-0:16:20,4.89547,34.1541,2,4.36,0,0,0,0,97.9094,-0.291721,1548.35
LD KO,Trial     6,A2,0:16:20-0:16:40,5.29902,58.582,2,4.64,0,0,0,0,105.98,0.19711,2167.58
LD KO,Trial     6,A2,0:16:40-0:17:00,5.55722,38.5412,9,3.24,0,0,0,0,110.922,0.627598,1433.91
LD KO,Trial     6,A2,0:17:00-0:17:20,4.85665,27.6479,1,4.52,0,0,0,0,97.1329,-0.678934,1058.23
LD KO,Trial     6,A2,0:17:20-0:17:40,5.72703,39.9571,1,3.2,0,0,0,0,114.541,-0.131247,1588.68
LD KO,Trial     6,A2,0:17:40-0:18:00,5.75804,114.044,2,1.1,0,0,0,0,115.161,0.502781,4587.63
LD KO,Trial     6,A2,0:18:00-0:18:20,4.76043,32.5719,3,3.02,0,0,0,0,95.2087,-0.349044,967.968
LD KO,Trial     6,A4,0:15:00-0:15:20,5.40669,122.155,3,4.08,0,0,0,0,108.134,0.0428314,4098.5
LD KO,Trial     6,A4,0:15:20-0:15:40,4.04576,119.778,5,6.5,0,0,0,0,80.7533,-0.0389996,3027.48
LD KO,Trial     6,A4,0:15:40-0:16:00,5.33786,93.8099,3,5.36,0,0,0,0,106.757,-0.0297182,3407.25
LD KO,Trial     6,A4,0:16:00-0:16:20,5.21801,136.736,1,0.78,0,0,0,0,104.36,0.0729744,5466.57
LD KO,Trial     6,A4,0:16:20-0:16:40,5.97481,119.64,3,5.18,0,0,0,0,119.496,0.555742,5313.93
LD KO,Trial     6,A4,0:16:40-0:17:00,4.55621,119.041,1,12.8,0,0,0,0,90.942,-0.292376,1683.66
LD KO,Trial     6,A4,0:17:00-0:17:20,4.23088,109.797,3,2.1,0,0,0,0,84.6175,-0.18243,4467.75
LD KO,Trial     6,A4,0:17:20-0:17:40,5.74046,79.7445,4,4.08,0,0,0,0,114.809,0.0773516,3683.05
